Team,Team Acroynm
GreenBay, GB
Chicago, CHI
Atlanta, ATL
Minnesota, MIN
Washington, WAS
Philadelphia, PHI
Buffalo, BUG
NYJets, NYJ
Baltimore, BAL
Miami, MIA
SanFrancisco, SF
TampaBay, TB
KansasCity, KC
Jacksonville, JAX
Tennessee, TEN
Cleveland, CLE
LARams, LA
Carolina, CAR
Detroit, DET
Arizona, ARI
Cincinnati, CIN
Seattle, SEA
Indianapolis, IND
LAChargers, LAC
NYGiants, NYG
Dallas, DAL
Pittsburgh, PIT
NewEngland, NE
Houston, HOU
NewOrleans, NO
Denver, DEN
Oakland, OAK
St.Louis,LA
SanDiego,LAC
HoustonTexans,HOU
