,Home,Away,OU,OU 2H,Total Points,Win Margin,Total Points 2H,Win Margin 2H
0,NYG,DAL,46.5,21.5,41,7,31,17
1,CHI,IND,41.0,21.0,62,-20,24,4
2,CLE,PHI,41.5,20.5,33,1,20,14
3,NYJ,BUG,42.5,18.0,76,-20,42,14
4,NO,WAS,50.5,26.5,72,8,38,32
5,TEN,NE,47.5,22.0,47,21,23,9
6,MIN,JAX,38.0,17.5,49,-3,30,16
7,HOU,MIA,43.5,18.0,40,-20,13,7
8,DET,LA,46.5,24.0,50,-4,27,21
9,GB,SF,45.0,24.0,52,8,29,29
10,TB,CAR,46.5,21.0,26,-6,13,13
11,ARI,SEA,41.0,20.0,36,-4,23,17
12,BAL,CIN,41.0,21.5,57,-31,30,-4
13,OAK,LAC,47.5,24.0,36,8,20,20
14,GB,CHI,50.0,24.0,33,-13,20,20
15,NYG,TB,44.5,23.0,75,-7,38,32
16,NE,ARI,49.0,22.5,38,2,26,20
17,CAR,NO,51.0,27.0,62,-8,28,14
18,PHI,BAL,43.5,23.5,47,-1,23,3
19,CIN,CLE,40.0,20.0,61,-7,34,20
20,JAX,HOU,41.0,17.5,34,20,17,3
21,SEA,DAL,42.0,21.0,34,-20,14,0
22,PIT,NYJ,42.0,21.5,37,-17,14,0
23,LAC,TEN,44.0,20.5,48,-28,28,14
24,SF,DET,44.0,22.5,46,-8,26,20
25,ATL,DEN,49.0,24.5,48,-6,21,7
26,CAR,NYG,52.0,23.5,43,29,23,9
27,CHI,LA,44.5,19.0,29,-17,16,16
28,DAL,TB,45.5,21.5,26,-6,9,9
29,MIN,SF,43.5,21.5,37,-11,17,17
30,TEN,DET,47.0,23.0,85,-3,53,53
31,WAS,CIN,46.5,24.0,69,7,35,7
32,MIA,NYJ,40.5,20.0,43,3,27,13
33,NO,KC,53.0,24.0,51,3,32,4
34,IND,JAX,42.0,21.0,39,5,22,22
35,ARI,PHI,44.5,20.5,33,-21,9,9
36,LAC,ATL,49.0,21.5,30,24,10,4
37,OAK,PIT,43.0,22.5,65,-3,34,20
38,BAL,NE,48.5,24.5,61,-1,27,13
39,SEA,GB,49.0,24.5,26,-2,19,19
40,BAL,CLE,44.0,21.5,39,-7,23,-5
41,BUG,NE,50.5,24.0,80,24,59,45
42,DET,MIN,47.0,23.5,33,7,14,14
