,Home,Away,Incomplete Passes,Touchbacks,Interceptions,Fumble Forced,Fumble  Forced,Safety,Penalty,Tackled For Loss,Rush Attempts,Pass Attempts,Sack,Touchdowns,Pass Touchdowns,Rush Touchdowns,Extra Point Attempts,Two Point Attempts,Field Goal Attempts,Punt Attempts,Fumble,Complete Passes
0,GB,NO,25.0,11,0.0,1.0,0.0,0.0,9.0,3.0,48.0,89.0,5.0,10.0,6.0,2.0,9.0,0.0,2.0,6.0,1.0,59.0
1,BAL,PIT,28.0,7,3.0,4.0,0.0,0.0,13.0,5.0,48.0,75.0,5.0,5.0,4.0,1.0,4.0,1.0,2.0,9.0,4.0,39.0
2,STL,PHI,35.0,5,0.0,2.0,1.0,0.0,17.0,7.0,57.0,76.0,8.0,5.0,2.0,2.0,4.0,0.0,4.0,7.0,3.0,33.0
3,TB,DET,24.0,10,2.0,4.0,3.0,0.0,14.0,5.0,51.0,81.0,2.0,5.0,4.0,0.0,4.0,0.0,4.0,10.0,7.0,53.0
4,CHI,ATL,24.0,6,2.0,2.0,3.0,0.0,17.0,7.0,41.0,89.0,10.0,4.0,2.0,0.0,2.0,0.0,5.0,11.0,5.0,53.0
5,KC,BUF,21.0,5,2.0,2.0,1.0,0.0,6.0,5.0,57.0,65.0,3.0,6.0,5.0,1.0,6.0,0.0,3.0,13.0,3.0,39.0
6,JAC,TEN,19.0,11,1.0,2.0,1.0,0.0,12.0,3.0,60.0,62.0,4.0,3.0,2.0,1.0,3.0,0.0,4.0,12.0,3.0,38.0
7,HOU,IND,20.0,10,2.0,3.0,1.0,0.0,10.0,6.0,57.0,59.0,4.0,5.0,2.0,2.0,4.0,0.0,3.0,8.0,4.0,33.0
8,CLE,CIN,32.0,6,1.0,3.0,0.0,0.0,14.0,8.0,59.0,73.0,6.0,5.0,4.0,1.0,5.0,0.0,3.0,16.0,3.0,34.0
9,SD,MIN,20.0,2,3.0,1.0,0.0,0.0,13.0,7.0,53.0,67.0,4.0,5.0,3.0,1.0,5.0,0.0,2.0,9.0,1.0,40.0
10,SF,SEA,20.0,5,1.0,2.0,2.0,0.0,20.0,9.0,54.0,62.0,5.0,5.0,2.0,1.0,4.0,0.0,5.0,12.0,4.0,36.0
11,ARI,CAR,21.0,6,1.0,1.0,1.0,0.0,16.0,6.0,52.0,70.0,6.0,7.0,4.0,2.0,6.0,0.0,1.0,12.0,2.0,42.0
12,WAS,NYG,26.0,4,1.0,2.0,0.0,0.0,11.0,4.0,45.0,74.0,8.0,6.0,2.0,3.0,5.0,0.0,2.0,12.0,2.0,39.0
13,NYJ,DAL,29.0,6,2.0,3.0,3.0,0.0,7.0,4.0,42.0,88.0,8.0,6.0,4.0,1.0,5.0,0.0,3.0,12.0,6.0,49.0
14,MIA,NE,33.0,2,2.0,0.0,1.0,0.0,15.0,2.0,42.0,102.0,5.0,8.0,6.0,2.0,8.0,0.0,3.0,10.0,1.0,62.0
15,DEN,OAK,30.0,13,1.0,5.0,1.0,0.0,25.0,6.0,52.0,74.0,6.0,4.0,2.0,1.0,3.0,0.0,6.0,10.0,6.0,37.0
16,DET,KC,20.0,7,4.0,3.0,1.0,0.0,12.0,4.0,59.0,65.0,2.0,6.0,4.0,2.0,6.0,0.0,4.0,10.0,4.0,39.0
17,BUF,OAK,26.0,10,2.0,1.0,0.0,0.0,11.0,5.0,55.0,79.0,0.0,10.0,5.0,5.0,10.0,0.0,2.0,5.0,1.0,51.0
18,PIT,SEA,17.0,5,0.0,0.0,0.0,0.0,10.0,5.0,48.0,67.0,7.0,3.0,1.0,2.0,3.0,0.0,2.0,11.0,0.0,43.0
19,NO,CHI,37.0,6,0.0,4.0,0.0,0.0,13.0,6.0,41.0,89.0,7.0,4.0,4.0,0.0,4.0,0.0,5.0,13.0,4.0,45.0
20,CAR,GB,26.0,5,3.0,2.0,0.0,0.0,13.0,3.0,42.0,81.0,5.0,5.0,3.0,2.0,5.0,0.0,6.0,5.0,2.0,47.0
21,MIN,TB,20.0,4,1.0,1.0,1.0,0.0,14.0,6.0,52.0,65.0,4.0,5.0,1.0,4.0,5.0,0.0,3.0,8.0,2.0,40.0
22,WAS,ARI,28.0,4,3.0,2.0,0.0,0.0,13.0,2.0,52.0,78.0,4.0,5.0,4.0,1.0,4.0,1.0,4.0,10.0,2.0,42.0
23,TEN,BAL,26.0,6,3.0,2.0,0.0,0.0,13.0,5.0,46.0,77.0,3.0,3.0,2.0,1.0,3.0,0.0,7.0,8.0,2.0,45.0
24,NYJ,JAC,15.0,3,6.0,0.0,0.0,1.0,11.0,6.0,59.0,52.0,3.0,3.0,2.0,1.0,3.0,0.0,4.0,10.0,0.0,28.0
25,IND,CLE,28.0,6,1.0,5.0,0.0,0.0,7.0,3.0,60.0,73.0,3.0,4.0,2.0,2.0,4.0,0.0,6.0,9.0,5.0,41.0
26,SF,DAL,22.0,10,3.0,2.0,1.0,0.0,13.0,5.0,46.0,74.0,7.0,6.0,5.0,1.0,6.0,0.0,4.0,10.0,3.0,42.0
27,NE,SD,18.0,5,2.0,2.0,0.0,0.0,14.0,5.0,50.0,84.0,4.0,7.0,5.0,2.0,6.0,1.0,2.0,3.0,2.0,60.0
28,MIA,HOU,25.0,4,1.0,1.0,0.0,0.0,7.0,2.0,64.0,64.0,5.0,3.0,3.0,0.0,3.0,0.0,7.0,9.0,1.0,33.0
29,DEN,CIN,24.0,11,0.0,2.0,0.0,0.0,14.0,4.0,56.0,71.0,4.0,5.0,4.0,1.0,4.0,1.0,4.0,11.0,2.0,42.0
30,ATL,PHI,19.0,5,3.0,3.0,0.0,0.0,11.0,8.0,59.0,69.0,4.0,9.0,6.0,3.0,9.0,0.0,2.0,11.0,3.0,43.0
31,NYG,STL,34.0,5,1.0,2.0,2.0,0.0,13.0,7.0,57.0,80.0,5.0,5.0,3.0,1.0,4.0,0.0,3.0,14.0,4.0,40.0
32,CAR,JAC,24.0,7,1.0,1.0,4.0,1.0,16.0,7.0,62.0,58.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,14.0,5.0,30.0
33,NO,HOU,27.0,8,3.0,0.0,0.0,0.0,11.0,4.0,47.0,89.0,4.0,8.0,6.0,2.0,6.0,2.0,5.0,5.0,0.0,53.0
34,CIN,SF,23.0,4,2.0,3.0,1.0,1.0,18.0,7.0,49.0,68.0,6.0,1.0,0.0,1.0,1.0,0.0,4.0,14.0,4.0,37.0
35,MIN,DET,28.0,3,0.0,2.0,0.0,0.0,17.0,8.0,42.0,91.0,9.0,4.0,3.0,1.0,4.0,0.0,7.0,13.0,2.0,54.0
36,PHI,NYG,14.0,6,3.0,1.0,2.0,0.0,11.0,7.0,66.0,58.0,5.0,5.0,4.0,1.0,4.0,1.0,3.0,6.0,3.0,36.0
37,TEN,DEN,22.0,6,2.0,1.0,2.0,0.0,12.0,11.0,46.0,78.0,3.0,4.0,4.0,0.0,4.0,0.0,1.0,9.0,3.0,51.0
38,CLE,MIA,28.0,5,2.0,1.0,1.0,0.0,18.0,6.0,57.0,73.0,5.0,3.0,3.0,0.0,3.0,0.0,5.0,8.0,2.0,38.0
39,BUF,NE,22.0,8,6.0,0.0,0.0,0.0,17.0,4.0,46.0,85.0,0.0,8.0,6.0,1.0,7.0,0.0,3.0,8.0,0.0,57.0
40,OAK,NYJ,24.0,7,1.0,0.0,1.0,0.0,14.0,4.0,57.0,75.0,5.0,7.0,2.0,5.0,7.0,0.0,4.0,11.0,1.0,45.0
41,STL,BAL,36.0,7,1.0,3.0,2.0,0.0,12.0,4.0,52.0,87.0,7.0,5.0,4.0,0.0,4.0,0.0,5.0,10.0,5.0,43.0
42,SD,KC,18.0,3,3.0,3.0,0.0,0.0,11.0,3.0,57.0,65.0,3.0,4.0,2.0,2.0,4.0,0.0,4.0,6.0,3.0,41.0
43,TB,ATL,28.0,5,3.0,2.0,0.0,0.0,16.0,9.0,51.0,83.0,4.0,2.0,1.0,1.0,2.0,0.0,5.0,6.0,2.0,48.0
44,SEA,ARI,24.0,2,3.0,3.0,1.0,0.0,10.0,6.0,58.0,77.0,7.0,2.0,1.0,1.0,2.0,0.0,5.0,13.0,4.0,43.0
45,CHI,GB,23.0,7,3.0,1.0,2.0,0.0,17.0,12.0,41.0,80.0,5.0,5.0,5.0,0.0,5.0,0.0,3.0,13.0,3.0,49.0
46,IND,PIT,33.0,9,1.0,3.0,0.0,0.0,7.0,7.0,49.0,81.0,4.0,4.0,1.0,1.0,2.0,0.0,6.0,10.0,3.0,43.0
