,Home,Away,Incomplete Passes,Touchbacks,Interceptions,Fumble Forced,Fumble Not Forced,Safety,Penalty,Tackled For Loss,Rush Attempts,Pass Attempts,Sack,Touchdowns,Pass Touchdowns,Rush Touchdowns,Extra Point Attempts,Two Point Attempts,Field Goal Attempts,Punt Attempts,Fumble,Complete Passes
0,NE,PIT,18.0,8,1.0,1.0,0.0,0.0,15.0,5.0,49.0,76.0,5.0,6.0,5.0,1.0,5.0,1.0,4.0,6.0,1.0,51.0
1,CHI,GB,22.0,5,1.0,0.0,0.0,0.0,16.0,3.0,63.0,61.0,2.0,6.0,4.0,2.0,6.0,0.0,4.0,3.0,0.0,36.0
2,HOU,KC,31.0,12,1.0,1.0,2.0,0.0,8.0,6.0,53.0,88.0,7.0,5.0,5.0,0.0,4.0,1.0,5.0,14.0,3.0,48.0
3,NYJ,CLE,21.0,9,2.0,4.0,1.0,0.0,16.0,4.0,64.0,59.0,3.0,5.0,3.0,2.0,5.0,0.0,2.0,5.0,5.0,33.0
4,BUF,IND,26.0,6,2.0,1.0,3.0,0.0,16.0,8.0,53.0,72.0,2.0,5.0,3.0,2.0,3.0,2.0,3.0,9.0,4.0,40.0
5,WAS,MIA,20.0,6,2.0,2.0,1.0,0.0,17.0,4.0,55.0,69.0,4.0,3.0,2.0,0.0,2.0,0.0,3.0,7.0,3.0,43.0
6,JAC,CAR,28.0,8,3.0,1.0,0.0,0.0,6.0,6.0,56.0,78.0,7.0,3.0,2.0,0.0,2.0,0.0,6.0,9.0,1.0,40.0
7,LA,SEA,17.0,9,1.0,2.0,1.0,0.0,11.0,9.0,59.0,76.0,8.0,7.0,2.0,2.0,3.0,1.0,5.0,7.0,3.0,50.0
8,ARI,NO,30.0,10,1.0,1.0,0.0,0.0,12.0,6.0,45.0,82.0,2.0,5.0,4.0,1.0,5.0,0.0,5.0,8.0,1.0,49.0
9,LAC,DET,14.0,9,4.0,1.0,1.0,0.0,9.0,5.0,46.0,75.0,3.0,8.0,4.0,3.0,7.0,0.0,2.0,7.0,2.0,54.0
10,TB,TEN,18.0,6,2.0,3.0,1.0,0.0,20.0,3.0,58.0,55.0,6.0,8.0,6.0,1.0,7.0,0.0,0.0,8.0,4.0,29.0
11,OAK,CIN,21.0,6,1.0,2.0,0.0,0.0,11.0,2.0,47.0,80.0,2.0,6.0,4.0,2.0,5.0,1.0,2.0,11.0,2.0,55.0
12,DEN,BAL,27.0,10,3.0,0.0,0.0,0.0,11.0,6.0,48.0,78.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,42.0
13,DAL,NYG,23.0,8,2.0,2.0,1.0,0.0,8.0,4.0,47.0,82.0,1.0,5.0,3.0,1.0,4.0,0.0,6.0,6.0,3.0,56.0
14,ATL,PHI,23.0,11,4.0,0.0,0.0,0.0,17.0,7.0,51.0,87.0,1.0,5.0,3.0,2.0,5.0,0.0,6.0,9.0,0.0,59.0
15,SF,MIN,17.0,6,1.0,0.0,1.0,0.0,13.0,1.0,56.0,64.0,6.0,2.0,0.0,2.0,2.0,0.0,5.0,7.0,1.0,40.0
16,KC,DEN,25.0,9,3.0,3.0,0.0,0.0,17.0,3.0,51.0,77.0,7.0,7.0,3.0,2.0,5.0,0.0,2.0,11.0,3.0,42.0
17,CAR,HOU,48.0,8,2.0,1.0,0.0,0.0,20.0,3.0,56.0,98.0,3.0,5.0,3.0,2.0,5.0,0.0,3.0,15.0,1.0,45.0
18,PIT,SF,19.0,8,0.0,1.0,1.0,0.0,14.0,3.0,56.0,81.0,5.0,8.0,5.0,3.0,5.0,3.0,1.0,7.0,2.0,54.0
19,NO,TB,20.0,9,1.0,6.0,1.0,0.0,21.0,3.0,62.0,67.0,7.0,5.0,2.0,3.0,4.0,1.0,6.0,7.0,7.0,38.0
20,MIN,DET,24.0,4,1.0,3.0,1.0,0.0,16.0,6.0,59.0,73.0,2.0,5.0,3.0,2.0,4.0,1.0,3.0,7.0,4.0,46.0
21,CHI,ARI,14.0,9,3.0,2.0,2.0,0.0,22.0,3.0,56.0,58.0,2.0,9.0,5.0,2.0,8.0,0.0,3.0,8.0,4.0,39.0
22,BUF,NE,25.0,12,3.0,5.0,0.0,0.0,25.0,3.0,43.0,100.0,10.0,9.0,6.0,3.0,7.0,2.0,4.0,7.0,5.0,61.0
23,CIN,LAC,15.0,5,1.0,2.0,2.0,0.0,17.0,6.0,61.0,58.0,4.0,5.0,5.0,0.0,4.0,1.0,5.0,6.0,4.0,37.0
24,CLE,TEN,23.0,8,0.0,6.0,0.0,0.0,13.0,4.0,61.0,61.0,9.0,6.0,4.0,1.0,5.0,0.0,0.0,12.0,6.0,29.0
25,NYG,ATL,29.0,7,0.0,2.0,0.0,0.0,12.0,6.0,45.0,90.0,4.0,5.0,3.0,2.0,5.0,0.0,3.0,9.0,2.0,57.0
26,WAS,LA,19.0,7,0.0,2.0,1.0,0.0,16.0,6.0,50.0,62.0,3.0,4.0,2.0,2.0,4.0,0.0,2.0,14.0,3.0,40.0
27,JAC,MIA,29.0,8,0.0,1.0,0.0,0.0,22.0,7.0,49.0,79.0,2.0,4.0,4.0,0.0,4.0,0.0,6.0,13.0,1.0,48.0
